id	CON_count	OGD_count	CON_fpkm	OGD_fpkm	log2(FC)	Pvalue	FDR	significant
ENSMUST00000071374	44.2966666666667	44.2333333333333	1.61666666666667	1.6	-0.0149503414659744	0.319176024911899	1	no
ENSMUST00000071522	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000072100	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000072180	10.3333333333333	12	0.223333333333333	0.253333333333333	0.181838322985814	0.788984922412792	1	no
ENSMUST00000072437	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000074808	0.666666666666667	1.66666666666667	0.0466666666666667	0.12	1.36257007938471	0.607683157981321	1	no
ENSMUST00000074862	11	14.3333333333333	0.116666666666667	0.166666666666667	0.514573172829757	0.966508897018301	1	no
ENSMUST00000075081	0.666666666666667	0	0.0233333333333333	0.001	-4.54432051622381	0.650279592609035	1	no
ENSMUST00000075909	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000076984	16	11.3333333333333	0.483333333333333	0.33	-0.550552469935324	0.126537324080594	0.960363772557251	no
ENSMUST00000077153	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000078844	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000079186	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000079376	0.333333333333333	1.33333333333333	0.02	0.08	2	0.534783356960652	1	no
ENSMUST00000079389	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000079720	0	0.333333333333333	0.001	0.0166666666666667	4.05889368905357	1	1	no
ENSMUST00000080911	2.15666666666667	1.12333333333333	0.0366666666666667	0.0233333333333333	-0.652076696579697	0.532514577219312	1	no
ENSMUST00000081193	0	0.666666666666667	0.001	0.01	3.32192809488736	0.683129498149427	1	no
ENSMUST00000081331	0	1.66666666666667	0.001	0.0366666666666667	5.1963972128035	0.254498589249642	1	no
ENSMUST00000082153	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000084298	0.853333333333333	0.24	0.0733333333333333	0.0233333333333333	-1.65207669657969	0.780882140389953	1	no
ENSMUST00000086912	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000086914	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000087947	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000088133	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000088134	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000088880	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000089534	22.3333333333333	39.3333333333333	0.196666666666667	0.346666666666667	0.81779666877925	0.308978626936328	1	no
ENSMUST00000090537	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000091023	0	0.666666666666667	0.001	0.0133333333333333	3.7369655941662	0.680507538435845	1	no
ENSMUST00000091324	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000092265	1.66666666666667	4.66666666666667	0.0166666666666667	0.0533333333333333	1.67807190511263	0.458306319401375	1	no
ENSMUST00000092680	37.6666666666667	44	0.666666666666667	0.763333333333333	0.195347598322218	0.647676937346895	1	no
ENSMUST00000093950	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000095015	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000095448	32	27.3333333333333	0.496666666666667	0.496666666666667	0	0.808983212373608	1	no
ENSMUST00000095874	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000096151	1.46	3.86333333333333	0.08	0.213333333333333	1.41503749927884	0.520533570196851	1	no
ENSMUST00000096366	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000097289	24.7733333333333	32.1666666666667	0.523333333333333	0.703333333333333	0.426478439815559	0.941525054099742	1	no
ENSMUST00000097295	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000097531	11.7566666666667	0.75	0.21	0.0133333333333333	-3.97727992349992	0.000194479486094363	0.0406826774973646	yes
ENSMUST00000097608	9.64666666666667	12.9833333333333	0.106666666666667	0.143333333333333	0.42626475470209	0.949377688818502	1	no
ENSMUST00000097935	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098075	0	4.63333333333333	0.001	0.2	7.64385618977472	0.0503623802026092	0.716440145682964	no
ENSMUST00000098100	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098226	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098372	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098484	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098658	4	4.50333333333333	0.09	0.103333333333333	0.199308808223402	0.907127692401659	1	no
ENSMUST00000098678	15	7.62	0.476666666666667	0.23	-1.05134688000022	0.0405910800830044	0.68655887223915	no
ENSMUST00000098827	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000098828	1.66666666666667	0.333333333333333	0.06	0.01	-2.58496250072116	0.262281876997969	1	no
ENSMUST00000099292	7.39666666666667	9.34	0.133333333333333	0.176666666666667	0.405992359675843	1	1	no
ENSMUST00000099324	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000099446	2.05333333333333	2.83666666666667	0.05	0.0733333333333333	0.552541023028778	0.999999999999999	1	no
ENSMUST00000099476	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000099552	1	2	0.02	0.0366666666666667	0.874469117916142	0.855491451945882	1	no
ENSMUST00000099676	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000099693	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000099888	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000100000	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000100271	0.333333333333333	0	0.00666666666666667	0.001	-2.73696559416621	1	1	no
ENSMUST00000100370	4.53333333333333	7.94333333333333	0.0633333333333333	0.12	0.921997487998728	0.669256657770444	1	no
ENSMUST00000100526	0.666666666666667	1	0.01	0.0133333333333333	0.41503749927884	0.999999999999997	1	no
ENSMUST00000100683	0.333333333333333	0	0.0166666666666667	0.001	-4.05889368905357	1	1	no
ENSMUST00000100817	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000100826	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000100944	5.02666666666667	5.82666666666667	0.0966666666666667	0.113333333333333	0.229481846122763	0.874351820887964	1	no
ENSMUST00000101077	71.33	101.123333333333	0.973333333333333	1.38333333333333	0.507142967354267	0.636484781639556	1	no
ENSMUST00000101121	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000101255	0	0.333333333333333	0.001	0.01	3.32192809488736	0.999999999999999	1	no
ENSMUST00000101281	113.14	159.946666666667	2.23666666666667	3.14666666666667	0.492474093161657	0.627188375753344	1	no
ENSMUST00000101355	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000101402	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000101425	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000101450	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000101522	89.8966666666667	113.683333333333	1.34666666666667	1.7	0.33614195410706	0.912707604443438	1	no
