Pathway	Group	p value	count
A	PS-NH2	0.007826278	5
B	PS-NH2	4.22E-06	6
C	PS-NH2	0.02333437	5
D	PS-NH2	0.04965948	4
D	PS-NH2	0.05858244	6
E	PS-NH2	0.1277769	2
F	PS-NH2	0.1713773	4
G	PS-NH2	0.2151591	2
H	PS-NH2	0.2151591	2
I	PS-NH2	0.2742767	2
J	PS-NH2	0.4897698	1
K	PS-NH2	0.1579283	3
L	PS-NH2	0.008786511	6
M	PS-COOH	0.06029792	1
N	PS-COOH	0.120191	1
O	PS-COOH	0.1850096	1
