Gene	Sample	Exp	Group	Gene_Type
TCONS_00131967	QX5-1	0.18	T6	lncRNA
TCONS_00131967	QX5-2	0.10	T6	lncRNA
TCONS_00131967	QX5-3	0.14	T6	lncRNA
TCONS_00145953	QX1-1	1.41	T5	lncRNA
TCONS_00145953	QX1-2	1.30	T5	lncRNA
TCONS_00145953	QX1-3	1.49	T5	lncRNA
TCONS_00145953	QX5-1	1.43	T6	lncRNA
TCONS_00145953	QX5-2	0.93	T6	lncRNA
TCONS_00145953	QX5-3	0.88	T6	lncRNA
TCONS_00146550	QX1-1	0.43	T5	lncRNA
TCONS_00146550	QX1-2	1.41	T5	lncRNA
TCONS_00146550	QX1-3	1.45	T5	lncRNA
TCONS_00146550	QX5-1	1.10	T6	lncRNA
TCONS_00146550	QX5-2	0.73	T6	lncRNA
TCONS_00146550	QX5-3	0.62	T6	lncRNA
TCONS_00155333	QX1-1	0.96	T5	lncRNA
TCONS_00155333	QX1-2	1.53	T5	lncRNA
TCONS_00155333	QX1-3	1.22	T5	lncRNA
TCONS_00155333	QX5-1	0.99	T6	lncRNA
TCONS_00155333	QX5-2	0.80	T6	lncRNA
TCONS_00155333	QX5-3	0.70	T6	lncRNA
TCONS_00157567	QX1-1	0.07	T5	lncRNA
TCONS_00157567	QX1-2	0.06	T5	lncRNA
TCONS_00157567	QX1-3	0.18	T5	lncRNA
TCONS_00157567	QX5-1	0.35	T6	lncRNA
TCONS_00157567	QX5-2	0.15	T6	lncRNA
TCONS_00157567	QX5-3	0.00	T6	lncRNA
TCONS_00170803	QX1-1	6.49	T5	lncRNA
TCONS_00170803	QX1-2	7.37	T5	lncRNA
TCONS_00170803	QX1-3	6.13	T5	lncRNA
TCONS_00170803	QX5-1	7.22	T6	lncRNA
TCONS_00170803	QX5-2	4.29	T6	lncRNA
TCONS_00170803	QX5-3	5.30	T6	lncRNA
TEA003716.1	QX1-1	0.00	T5	mRNA
TEA003716.1	QX1-2	0.06	T5	mRNA
TEA003716.1	QX1-3	0.00	T5	mRNA
TEA003716.1	QX5-1	0.00	T6	mRNA
TEA003716.1	QX5-2	0.00	T6	mRNA
TEA003716.1	QX5-3	0.00	T6	mRNA
TEA028107.1	QX1-1	2.84	T5	mRNA
TEA028107.1	QX1-2	3.65	T5	mRNA
TEA028107.1	QX1-3	3.88	T5	mRNA
TEA028107.1	QX5-1	1.86	T6	mRNA
TEA028107.1	QX5-2	1.29	T6	mRNA
TEA028107.1	QX5-3	1.25	T6	mRNA
TEA028111.1	QX1-1	0.03	T5	mRNA
TEA028111.1	QX1-2	0.00	T5	mRNA
TEA028111.1	QX1-3	0.00	T5	mRNA
TEA028111.1	QX5-1	0.00	T6	mRNA
TEA028111.1	QX5-2	0.06	T6	mRNA
TEA028111.1	QX5-3	0.00	T6	mRNA
TEA029732.1	QX1-1	0.00	T5	mRNA
TEA029732.1	QX1-2	0.00	T5	mRNA
TEA029732.1	QX1-3	0.00	T5	mRNA
TEA029732.1	QX5-1	0.00	T6	mRNA
TEA029732.1	QX5-2	0.00	T6	mRNA
TEA029732.1	QX5-3	0.00	T6	mRNA
